customer_id,first_name,last_name,email,state,customer_segment,signup_date,is_verified
C00001,Yusuf,Adeyemi,yusuf.adeyemi.1@example.com,OG,STANDARD,2025-05-21,True
C00002,Temi,Salami,temi.salami.2@example.com,LA,STANDARD,2025-01-17,True
C00003,Ada,Afolayan,ada.afolayan.3@example.com,EN,PREMIUM,2025-04-12,True
C00004,Femi,Ogunleye,femi.ogunleye.4@example.com,OY,STANDARD,2025-05-23,False
C00005,Chioma,Onyeka,chioma.onyeka.5@example.com,AN,STANDARD,2025-02-19,True
C00006,Mariam,Bello,mariam.bello.6@example.com,RV,BUSINESS,2025-10-10,True
C00007,Amina,Bello,amina.bello.7@example.com,OG,STANDARD,2025-01-24,False
C00008,David,Ibrahim,david.ibrahim.8@example.com,AN,STANDARD,2025-07-09,True
C00009,Ife,Afolayan,ife.afolayan.9@example.com,OY,PREMIUM,2025-05-06,True
C00010,Tunde,Adebayo,tunde.adebayo.10@example.com,AN,PREMIUM,2025-01-17,True
C00011,Sade,Nwosu,sade.nwosu.11@example.com,KD,PREMIUM,2025-12-02,True
C00012,Chidi,Afolayan,chidi.afolayan.12@example.com,DE,PREMIUM,2025-05-15,True
C00013,Kunle,Balogun,kunle.balogun.13@example.com,KD,STANDARD,2025-09-18,True
C00014,Femi,George,femi.george.14@example.com,KN,PREMIUM,2025-02-02,True
C00015,Zainab,Afolayan,zainab.afolayan.15@example.com,FC,BUSINESS,2025-01-06,True
C00016,Ada,Lawal,ada.lawal.16@example.com,OY,BUSINESS,2025-09-14,True
C00017,Hauwa,George,hauwa.george.17@example.com,OY,STANDARD,2025-04-12,True
C00018,Ola,Adeyemi,ola.adeyemi.18@example.com,AN,STANDARD,2025-02-27,True
C00019,Chioma,Bello,chioma.bello.19@example.com,FC,BUSINESS,2025-09-06,True
C00020,Zainab,Chukwu,zainab.chukwu.20@example.com,KN,STANDARD,2025-11-07,False
